cell_id,lat,lon,lat_min,lon_min,land_frac
03895_01665,38.95,16.65,38.9,16.6,1.0
03895_01675,38.95,16.75,38.9,16.7,0.9973
03895_01685,38.95,16.85,38.9,16.8,0.8189
03895_01695,38.95,16.95,38.9,16.9,0.6504
03895_01705,38.95,17.05,38.9,17.0,0.8634
03895_01715,38.95,17.15,38.9,17.1,0.4595
03905_00835,39.05,8.35,39.0,8.3,0.3755
03905_00845,39.05,8.45,39.0,8.4,0.6289
03905_00855,39.05,8.55,39.0,8.5,0.6173
03905_00865,39.05,8.65,39.0,8.6,1.0
03905_00875,39.05,8.75,39.0,8.7,1.0
03905_00885,39.05,8.85,39.0,8.8,1.0
03905_00895,39.05,8.95,39.0,8.9,1.0
03905_00905,39.05,9.05,39.0,9.0,0.3031
03905_01605,39.05,16.05,39.0,16.0,0.0686
03905_01615,39.05,16.15,39.0,16.1,0.9628
03905_01625,39.05,16.25,39.0,16.2,1.0
03905_01635,39.05,16.35,39.0,16.3,1.0
03905_01645,39.05,16.45,39.0,16.4,1.0
03905_01655,39.05,16.55,39.0,16.5,1.0
03905_01665,39.05,16.65,39.0,16.6,1.0
03905_01675,39.05,16.75,39.0,16.7,1.0
03905_01685,39.05,16.85,39.0,16.8,1.0
03905_01695,39.05,16.95,39.0,16.9,1.0
03905_01705,39.05,17.05,39.0,17.0,1.0
03905_01715,39.05,17.15,39.0,17.1,0.5164
03915_00825,39.15,8.25,39.1,8.2,0.4438
03915_00835,39.15,8.35,39.1,8.3,0.1004
03915_00845,39.15,8.45,39.1,8.4,0.7097
03915_00855,39.15,8.55,39.1,8.5,1.0
03915_00865,39.15,8.65,39.1,8.6,1.0
03915_00875,39.15,8.75,39.1,8.7,1.0
03915_00885,39.15,8.85,39.1,8.8,1.0
03915_00895,39.15,8.95,39.1,8.9,1.0
03915_00905,39.15,9.05,39.1,9.0,0.2858
03915_00935,39.15,9.35,39.1,9.3,0.1911
03915_00945,39.15,9.45,39.1,9.4,0.6746
03915_00955,39.15,9.55,39.1,9.5,0.5152
03915_01605,39.15,16.05,39.1,16.0,0.3284
03915_01615,39.15,16.15,39.1,16.1,1.0
03915_01625,39.15,16.25,39.1,16.2,1.0
03915_01635,39.15,16.35,39.1,16.3,1.0
03915_01645,39.15,16.45,39.1,16.4,1.0
03915_01655,39.15,16.55,39.1,16.5,1.0
03915_01665,39.15,16.65,39.1,16.6,1.0
03915_01675,39.15,16.75,39.1,16.7,1.0
03915_01685,39.15,16.85,39.1,16.8,1.0
03915_01695,39.15,16.95,39.1,16.9,1.0
03915_01705,39.15,17.05,39.1,17.0,1.0
03915_01715,39.15,17.15,39.1,17.1,0.2241
03925_00835,39.25,8.35,39.2,8.3,0.1207
03925_00845,39.25,8.45,39.2,8.4,0.8834
03925_00855,39.25,8.55,39.2,8.5,1.0
03925_00865,39.25,8.65,39.2,8.6,1.0
03925_00875,39.25,8.75,39.2,8.7,1.0
03925_00885,39.25,8.85,39.2,8.8,1.0
03925_00895,39.25,8.95,39.2,8.9,1.0
03925_00905,39.25,9.05,39.2,9.0,0.984
03925_00915,39.25,9.15,39.2,9.1,0.9181
03925_00925,39.25,9.25,39.2,9.2,0.8022
03925_00935,39.25,9.35,39.2,9.3,0.9868
03925_00945,39.25,9.45,39.2,9.4,1.0
03925_00955,39.25,9.55,39.2,9.5,0.7889
03925_01605,39.25,16.05,39.2,16.0,0.4353
03925_01615,39.25,16.15,39.2,16.1,1.0
