cell_id,parent_id,lat_min,lon_min,quota_media,delta_quota,bosco_frac,northness,idoneita_ospite,macroregione
037112_014712,03715_01475,37.1,14.7,559.0,-18.7,0.66019,0.1784,0.6531,mediterraneo
037112_014738,03715_01475,37.1,14.725,486.2,-91.5,0.30968,-0.0365,0.638,mediterraneo
037112_014812,03715_01485,37.1,14.8,858.1,202.4,0.28849,0.0784,0.7568,appenninico
037112_014838,03715_01485,37.1,14.825,865.9,210.2,0.48692,-0.1221,0.8282,appenninico
037112_014862,03715_01485,37.1,14.85,871.1,215.4,0.30979,-0.1656,0.7265,appenninico
037112_014962,03715_01495,37.1,14.95,489.1,-51.4,0.16612,-0.1849,0.8501,mediterraneo
037112_014988,03715_01495,37.1,14.975,468.0,-72.5,0.72654,0.1735,0.8385,mediterraneo
037112_015012,03715_01505,37.1,15.0,497.0,121.5,0.24026,0.4421,0.8305,mediterraneo
037112_015038,03715_01505,37.1,15.025,455.5,80.0,0.19611,0.1418,0.85,mediterraneo
037112_015062,03715_01505,37.1,15.05,365.2,-10.3,0.11707,0.1791,0.8113,mediterraneo
037138_014438,03715_01445,37.125,14.425,304.5,39.2,0.17213,-0.5078,0.7313,mediterraneo
