cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
03775_01475,37.75,14.75,1.0,0.0835,0.00613,0.0,0.06245,0.0,0.10497,0.0,9784,877,0.08963
03775_01485,37.75,14.85,1.0,0.10592,0.0,0.0,0.01513,0.0,0.22585,0.0,9781,1036,0.10592
03775_01495,37.75,14.95,1.0,0.1143,0.03537,0.05316,0.00061,0.06134,0.02924,0.15407,9781,1984,0.20283
03775_01505,37.75,15.05,1.0,0.16977,0.04967,0.08187,0.0,0.04344,0.01053,0.02739,9784,2948,0.30131
03775_01515,37.75,15.15,1.0,0.10788,0.0,0.0,0.0,0.0,0.02577,0.0544,9779,1055,0.10788
03775_01525,37.75,15.25,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9785,0,0.0
03785_01245,37.85,12.45,0.4026,0.0,0.00512,0.0,0.0,0.0,0.01074,0.0,9774,50,0.00512
03785_01255,37.85,12.55,1.0,0.0,0.0,0.0,0.0,0.0,0.01608,0.0,9761,0,0.0
03785_01265,37.85,12.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9775,0,0.0
03785_01275,37.85,12.75,1.0,0.00287,0.10663,0.0,0.0,0.0,0.02684,0.0,9763,1069,0.1095
03785_01285,37.85,12.85,1.0,0.0,0.0218,0.0,0.0045,0.0,0.00276,0.0,9770,213,0.0218
03785_01295,37.85,12.95,1.0,0.0,0.01157,0.0,0.0,0.0,0.00553,0.0,9769,113,0.01157
03785_01305,37.85,13.05,1.0,0.0,0.00389,0.0,0.00379,0.0,0.0,0.0,9767,38,0.00389
03785_01315,37.85,13.15,1.0,0.01167,0.0,0.0,0.0,0.0,0.0,0.0,9770,114,0.01167
03785_01325,37.85,13.25,1.0,0.0,0.0,0.0,0.00982,0.0,0.00307,0.0,9771,0,0.0
03785_01335,37.85,13.35,1.0,0.1998,0.0,0.0,0.07721,0.0,0.06267,0.0,9765,1951,0.1998
03785_01345,37.85,13.45,1.0,0.171,0.04861,0.01054,0.01443,0.0,0.10284,0.00481,9772,2249,0.23015
03785_01355,37.85,13.55,1.0,0.00164,0.0,0.0,0.0,0.0,0.02816,0.0,9767,16,0.00164
03785_01365,37.85,13.65,1.0,0.02437,0.0,0.0,0.00891,0.0,0.13013,0.0,9767,238,0.02437
03785_01375,37.85,13.75,1.0,0.09754,0.0,0.02958,0.0216,0.0,0.10276,0.0,9770,1242,0.12712
03785_01385,37.85,13.85,1.0,0.11597,0.00942,0.03193,0.0782,0.0,0.1651,0.03081,9770,1537,0.15732
03785_01395,37.85,13.95,1.0,0.12901,0.00369,0.0,0.05631,0.0,0.14242,0.02775,9767,1296,0.1327
03785_01405,37.85,14.05,1.0,0.30254,0.03632,0.03775,0.0,0.0,0.22273,0.06998,9774,3681,0.37661
03785_01415,37.85,14.15,1.0,0.14654,0.0,0.07752,0.00696,0.0,0.35719,0.0,9765,2188,0.22406
03785_01425,37.85,14.25,1.0,0.03972,0.0,0.00113,0.06152,0.0,0.24301,0.0,9769,399,0.04085
03785_01435,37.85,14.35,1.0,0.10406,0.10109,0.04281,0.10426,0.0,0.2924,0.01249,9764,2421,0.24796
03785_01445,37.85,14.45,1.0,0.24542,0.02559,0.01136,0.14789,0.0,0.0261,0.00174,9771,2759,0.28237
03785_01455,37.85,14.55,1.0,0.31377,0.02437,0.01464,0.00625,0.0,0.00717,0.00655,9765,3445,0.35278
03785_01465,37.85,14.65,1.0,0.42108,0.0,0.0,0.00184,0.0,0.03163,0.01126,9770,4114,0.42108
03785_01475,37.85,14.75,1.0,0.19992,0.0,0.0,0.08261,0.0,0.04064,0.0,9769,1953,0.19992
